feature,importance
worst_area,0.15583525205341373
worst_concave_points,0.1265471879704185
worst_perimeter,0.09628829632099566
mean_concave_points,0.08577313020295155
mean_perimeter,0.07800145965333775
worst_radius,0.07612559344068222
mean_concavity,0.05549819520275335
mean_radius,0.04827957180831147
mean_area,0.0408737500871417
worst_concavity,0.033672089836403324
area_error,0.033560563224551136
worst_texture,0.02033791628727389
worst_compactness,0.017665999214733146
mean_texture,0.016084601011587922
worst_smoothness,0.015072023415824006
mean_compactness,0.012645789413081886
radius_error,0.011858254211393603
worst_symmetry,0.010968013861934217
perimeter_error,0.010210841268845186
compactness_error,0.007352943414322864
mean_smoothness,0.006769833916870621
texture_error,0.006266162483274819
smoothness_error,0.005624809911929315
concavity_error,0.00534337790355438
worst_fractal_dimension,0.0051405204551332575
mean_symmetry,0.004418335741505856
symmetry_error,0.004306460968342489
concave_points_error,0.003428690638463471
fractal_dimension_error,0.0031292197219854752
mean_fractal_dimension,0.002921116358983057
